Subject,Message,Priority
fHpRcmcWNp,U dun say so early hor... U c already then say...,0.6673802761197021
aVTtmLNBdh,"U dun say so early hor... U c already then say...
",0.6673802761197021
FLEhbUxyrD,I like you peoples very much:) but am very shy pa.,0.6465437248178608
cDkRwfOGtc,I‘m going to try for 2 months ha ha only joking,0.645784854542146
JNaNXLccBW,Anything lor... U decide...,0.6354283206096204
azEAFHMagk,Tell where you reached,0.6170872995524224
tooyViSBFL,Oh k...i'm watching here:),0.6150057916060282
wlwdmlzvWn,Yup next stop.,0.6124987082096219
RskqYirppL,WHO ARE YOU SEEING?,0.6072379947561505
JPjswPNbYi,"Sorry, I'll call later",0.5550769563776146
EyTNQVlOJG,Finished class where are you.,0.5531577818917516
DaiBuyFrKX,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0.5448519394200633
KyNaGLsNPh,K tell me anything about you.,0.5320821613429881
vRmHLGEXsP,Lol your always so convincing.,0.5274076740593471
FGfTtUOdLn,U can call me now...,0.5236441574194133
kISgpMZGNh,"Fair enough, anything going on?",0.5229502587337073
FGtRSFimfE,K. Did you call me just now ah?,0.5157442374089617
fYiIvZMpcF,Fine if thats the way u feel. Thats the way its gota b,0.514414874275303
szojziRtEE,I see the letter B on my car,0.504156285733585
PKtMUzOxgU,K..k:)where are you?how did you performed?,0.5023698395474774
RMfxDawBnH,I HAVE A DATE ON SUNDAY WITH WILL!!,0.4991610584731798
uScAeGtdqI,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0.4922223310029587
KDSfSExRwF,"Ok lar... Joking wif u oni...
",0.4908704829703187
eODlVKatTE,Ok lar... Joking wif u oni...,0.4908704829703187
cYyMJmNQdo,"Sorry, I'll call later in meeting.",0.4882768923458436
peqjWXOftH,Its a part of checking IQ,0.48192097172613585
AugsBBhEVn,"Nah I don't think he goes to usf, he lives around here though",0.4659230164228178
kadYEcAwrC,"Nah I don't think he goes to usf, he lives around here though
",0.4659230164228178
MnBsebdHDu,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0.45779219078471106
IueuJPAvIX,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",0.45483679863206544
bdmRTgLscq,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0.45429608798014937
BuhzulvJIO,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0.4542014516356514
BaFdorUwPe,I plane to give on this month end.,0.4438733125974606
rFYjWqBeDJ,Is that seriously how you spell his name?,0.44310309180834084
MaQoKbUoZq,What you thinked about me. First time you saw me in class.,0.4428407012071831
jaAVnZoJeY,Thats cool. i am a gentleman and will treat you with dignity and respect.,0.4418476052478026
xLOljaFJCH,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0.4374847699518211
SrBNzWtHZh,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0.4358682880107817
gyJgGrOQxf,Didn't you get hep b immunisation in nigeria.,0.430564186599873
FjOMUtDSOG,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0.42303013770727704
NdcEEInoXU,I am waiting machan. Call me once you free.,0.41961146423454543
bxkRcxGtzu,You will be in the place of that man,0.4144864981731776
UTHKWDcfRK,Even my brother is not like to speak with me. They treat me like aids patent.,0.41275870589370217
vamjCAnjIR,Does not operate after  &lt;#&gt;  or what,0.41015401558005704
