Subject,Message
MxBGwrfjxQ,"Good evening,
              I am Hashim from HR ABCD Technologies for accepting
your internship offer based on your resume. You Should join this company
from next Monday onwards for next 4 months

Thank You
Hashim
HR ABCD Technologies
  
  
Good evening,

I am Hashim from HR ABCD Technologies for accepting your internship offer
based on your resume. You Should join this company from next Monday onwards
for next 4 months

  

Thank You

Hashim

HR ABCD Technologies

"
eWkjxzOxvi,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
OsaaTSiCMt,Ok lar... Joking wif u oni...
LPjwQZsvdc,U dun say so early hor... U c already then say...
GLHZcpJuVp,"Nah I don't think he goes to usf, he lives around here though"
pFcrkJspzS,Even my brother is not like to speak with me. They treat me like aids patent.
hYOSTnFAVU,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
upKFKxqfWW,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
KFdwdndDiD,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
EgxenhNHlg,I HAVE A DATE ON SUNDAY WITH WILL!!
WIVBSjChNR,Oh k...i'm watching here:)
dOsYvhzoBF,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
DNzKEztGQB,Fine if thats the way u feel. Thats the way its gota b
ImpDPGAKPn,Is that seriously how you spell his name?
gftqVYMOaE,I‘m going to try for 2 months ha ha only joking
grgykDXxgM,So ü pay first lar... Then when is da stock comin...
GCWtzRGiHa,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
jBoIjhUlqf,Ffffffffff. Alright no way I can meet up with you sooner?
nBtvqdVDrh,Lol your always so convincing.
aVTIOYLGLV,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
MacPfrahgL,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
GKhuNEuZSx,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
RuZeKcepji,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
oMvFgRkoNx,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
gJJwgyTZiM,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?
nbOPUZGJYK,K tell me anything about you.
ivMzSvGEoi,For fear of fainting with the of all that housework you just did? Quick have a cuppa
bLJgxwXCeG,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
xMoOYklAJF,"Oops, I'll let you know when my roommate's done"
LxQolfmJGp,I see the letter B on my car
AMhgzfzZgF,Anything lor... U decide...
sgwveodAYj,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
RpqfzhXeRE,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
QxbZdftIFw,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
ENGrJbEcCS,WHO ARE YOU SEEING?
LuAlnfEVky,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
VTUIEROqGF,No calls..messages..missed calls
