Subject,Message
AGpImpsVCj,"

Hi Openwork,

Welcome to Google. Your new account comes with access to Google products,  
apps, and services.

Here are a few tips to get you started.


Get the most out of your Google Account

We'll send you personalized tips, news and recommendations from Google.

Yes, keep me updated  
<https://notifications.google.com/g/p/ANiao5qPZM-tKe0l7G8amrTtQEuj3pL-5mpKunm3oNaU9MwCFojBG0pR-l5VePfl6C3-uz2yOP6jF_i3dsu7_qxcM8a5G0QjI2nL6AOb2aXebos-t7SxFT-VpJcQp5TEYi9dyTP1apfn_5P0x581F7jTtOAyeS_9FKWjlOhyeAQRIbmuq5kppn2CVrhICTuH6rpe5oPQLHpDSQuyPh0IMEz2Fjlu7RpsV_g7h39qqE0si9ifYf4eAeudX4mVyeJ40u26sej-lwSGZqGy5P8DEkoEctQhDuM4ck9SqD3cFE7ejOP-bW7F4jaRRURu0Ank72KMFc599uZj8nfnLutVM-m5kbWBXSD8fO--IRjCj_HoLZxBN1pTdYpFfMblri6778fx5Vji6bDCY-_jXVMGoe7KjMhOk-ofMY6WtUZvq9nTcM5OM4cjXTNj4E8SR2bPmygABprU6LzgHAlyRUMSRuhS8MrnDPA_xrt3hEbE9XQZzfHO3JORGFaT9gPNtPEFPKEfVegppb5_LUQdjhxFdgvhQ8KWtsWcjJ76t5KIiqI7JFBw7v0-0W6QaT2lihhtoAhHlJwQuS1F7jaUErm3x9YZMGU0ekwLTyu1_8bf4A>

Stay in the know with the Google app

Find quick answers, explore your interests, and stay up to date.

Try it  
<https://notifications.google.com/g/p/ANiao5rYy6-cRV8QcRBD4oYrXJYoUwA_LFn_-ZT3ZDXkZ5ipTE7X_YG-9__gHoEsUuLuYYPJgAN7ST8LxRA6M7xvpFETN-4xuUWKQ4mjg0VnnWlv1f1vLjOxKe7EOiZxcdvdbjNbB1tSP7sYQabvzqhjADuMvVoLAPFwrDsYAP4_59r_WEGZ6JcRJ6014HdVz5VG9Y3HY0hhMtOP_Ln4RPED8g-TDHB79uJa8hBRx79zVp2hRn2-Psnima4FT2O2zjP8Cq3K_obSJEJO-5iYCqQbRRHJ7Qw7t3jhcKxoYc0YKsKbR55SE1FEGuwEbH95Lqnqu21iKxHYtAd6Ljr35dAtzHnZ46FbMuJYdStubw2WPw0Wqgu2cGBKXg>

More from Google

Discover the latest apps from Google.

For Android  
<https://notifications.google.com/g/p/ANiao5rQWeEWayZ3VBVPp-Bq6aGiz4Gi9KP9N7chMYqRRbVOvhMeZLLA81ACwMVbc1TapbEFd7gXeoxvoc-iNG9R9iHBPWULgXTLLop1qnyC_hooEuYmL6opbRj-wWYahxFTNg9Aq5BglV-qAJ-Yu-TIpiSTk3fqoF3Ro-atJoAiNYjDLbYDUG_DCoRoWesx2E9tV9rIUvbR5xrto9Beg-xlrvCTJ4SByDPuyImzEW35aqy8nqL7TPWoITqI5PV1KeiZt-7q3Na5w_q65JkTW2NnT4_Y5EqZZFpxsRq4-6mHkjDNYQZXO653IjB5vZE_5I5REyRGEAOnlilAJmSLgwYiSiQjAdjIeoN3beCe24FkYCXop-y_RYSBOz7M975jc-b3HS6yukxsjeXnWp1GnMcu3IHXQu6Toi3nk45RnLsWaHg430GdYeAqIDH6waRFb-6mZ-rOoAjB4eChNMqbDAJgKbaeah0tShh2hKRrINn-ZRDproe50KiGxAfE2j__oiGokKfhwzTnmLyiY77-O_Nn-Hn6jxaCd7bdjAoEQUI6SAJpKdwhpZekrEDyvdzHwEQL69LsJOOyN3ztK7YHiuf2AfdgkW2jjktS2SMksSn-UJYCi4LNitAwIHt-5SqAEYnT9jipZ5aOqUgYRj7WevwoRo4>

For iOS  
<https://notifications.google.com/g/p/ANiao5oZIJCkjMQYWnnUQgTCt24eoaWvt7lof7JzrBUvWr5GgY7OxZ8ithMnPv1mAml7IzYDfsQY5B8R0o3RKAG6xevQSmZcXRLTFf4EQzksXlWH5CCNApVXNLgSVxXE23_7Vc1gO-gDyOF5z-SndOi6FhhqPQaDsNFdpVPHDQXVAtTEDVgqx46WpJ9wPs25YfM68TKz24XmZSX7c1miaSFxlfgK8Nr6B_2mX1S2rc-77QZoIBMAaMTLtkkuMcSI8cjpx1yyzMUwSRqtz8sSso8CfQybOFyGpjFLybG407oNMBhkS07JxnMcnJZ4nwy1ZnIF5ZRSEqNGV4AXG2762aZp7aS9rbZG36ylqwAsO0M-qOy0lJagSbpmXpndVbgvt3soOpsmggCQCQ>

Confirm your options are right for you

Review and change your privacy and security options to make Google work  
better for you.

Confirm  
<https://notifications.google.com/g/p/ANiao5qC8YbSockCbCtvNFTV0GRYey8R-iSvWmZYH6GGVXyUwOwMhxykb4jkepcP66iRPQqslCXzDqzQN-KTToxi0z4a9rZqjKERh_DOEnYEbyqLGCcL1S3q0MCD4H48C8djku0fVuN-q5ANNgiA6gSaa-vLgpo-Wdwbu4U04gT-KR27cIA8tZxWyW2G8dBTcaI9MapXrrtaBf5mrLCLJ7JABmFeVrDHZZDdPgjEc0Ri560g3K1RACAF7N7K9kJjZJZ4wSzPjdPe9D37JfpHjfHkCzZUtJk6ywyHjOZyK2P1FphTE6PVdcSeBYLxOEx2r57Ub5vISE9q9v-K9ej4>

Find answers

Visit the Help Center  
<https://notifications.google.com/g/p/ANiao5pjTbE1R_1BnY-SdTbxWan_jwxTzdvoOY_kDXlKJg7Lk-oMV3q9xNi3Z4DXTzuio0X1rrxEi_ne2ZThH8TJ1ulI4Yi8vWN1uwXYcDNfHTpaVQi1M4GEwcCCDmj8BUOKZVSHQW1PUie9P1vjo7oZ9aJK9qNb-DGSNQQG8Ue3hZGQidXYlIuvHxKAhNGXBGZzMpEfStm1cjt0w64adb1-NdY_EYq4klaJpk3PIU3-O-Gr6RlTyy5gOLw_Ssr3mUiR0sDgS8bktr1X4_v2oa1K3vvYGwUgGg4vHOy2It-7mUfz>  
to learn all about your new Google Account.


Replies to this email aren't monitored. If you have a question about your  
new account, the Help Center  
<https://notifications.google.com/g/p/ANiao5qXuOhtZpp-cwW6yNGBO34Pgi3i1AMxV_maNdn33SPkiXFSkHogqU0ZBNZKHVv18i8XpzqshxQwNSxlxDij88BEf7VfwsPgAv-cYk0yYRYeig6Ia_86EQ9jeFGHXfjbGPtV9sUql1kf4FrDAQbUMD2PJJQ2Ku3rOJx2rZ_utwWEGz6WOqOHSJKSLuI3bEJ8EpJ5Q4NlcuSfCDaOhFV_woMmPn5hrFqHz19_hyjFycJUf8eICMSe4T8LpHBvPRz3UKrRSLyHswi5XEug4C1oYVMtHgV58Jgw6px98PzsGJbQYu8A0ZS->  
likely has the answer you're looking for.



Google LLC 1600 Amphitheatre Parkway, Mountain View, CA 94043

This email was sent to you because you created a Google Account.
Content type not supported![](https://www.gstatic.com/gumdrop/files/google-logo-header.png)  
---  
|  ![](https://www.gstatic.com/gumdrop/files/banner.png)  
---  
|  Hi Openwork,  
---  
Welcome to Google. Your new account comes with access to Google products,
apps, and services.  
Here are a few tips to get you started.  
|  |  |  
---  
![](https://www.gstatic.com/images/branding/product/2x/email_64dp.png)  
Get the most out of your Google Account  
We'll send you personalized tips, news and recommendations from Google.  
  
|  
---  
Yes, keep me updated  
  
|  |  
---  
![](https://www.gstatic.com/gumdrop/files/google-logo.png)  
Stay in the know with the Google app  
Find quick answers, explore your interests, and stay up to date.  
  
|  
---  
Try it  
  
|  ![](https://www.gstatic.com/gumdrop/files/apps-icons-image-2x-wd972px-
ht390px.png)  
---  
More from Google  
Discover the latest apps from Google.  
|

|  
---  
For Android  
---  
For iOS  
  
|  
---  
![](https://www.gstatic.com/gumdrop/files/security-logo.png)  
Confirm your options are right for you  
Review and change your privacy and security options to make Google work better
for you.  
|

|  
---  
Confirm  
  
|  |  ![](https://www.gstatic.com/gumdrop/files/help-outline.png) |

Find answers

Visit the  Help Center to learn all about your new Google Account.

|  
---|---|---|---  
|  
---  
![](https://www.gstatic.com/gumdrop/files/google-logo-footer.png)  
Replies to this email aren't monitored. If you have a question about your new
account, the  Help Center likely has the answer you're looking for.  
Google LLC  
1600 Amphitheatre Parkway,  
Mountain View, CA 94043  
  
This email was sent to you because you created a Google Account.  
  
![](https://notifications.google.com/g/img/ANiao5p34OWlP2kXYQIpQI-
DuaPE-e17NMDkxrKoebUhc4qgxxLelxSWNHlcM_To0Mj-Tt1uEap3A6DOSOdQeRJI-
DVLyCo0b-tp9jiI7vHtjxX83m_G942MytYnkbu_5qPDHcwh6lOhSgOS1Y1_kV_ihN-
HvqlVcGXCMm4.gif)

"
UMnrDnbxYk,"[image: Google]
Phone number added for 2-Step Verification


openwork98@gmail.com
Codes to sign in to your account now go to a new phone number. If you
didn't add this number, someone might be using your account. Check and
secure your account now.
Check activity
<https://accounts.google.com/AccountChooser?Email=openwork98@gmail.com&continue=https://myaccount.google.com/alert/nt/1696252505546?rfn%3D259%26rfnc%3D1%26eid%3D5443846067829226233%26et%3D0>
You can also see security activity at
https://myaccount.google.com/notifications
You received this email to let you know about important changes to your
Google Account and services.
© 2023 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA
  
---  
  
| |

![Google](https://www.gstatic.com/images/branding/googlelogo/2x/googlelogo_color_74x24dp.png)

Phone number added for 2-Step Verification

|
![](https://lh3.googleusercontent.com/a/ACg8ocIJY6Xh98AtIkw9bzLzZ7hhULmhhR6qmzqMHxh2iu5z=s96-c)|
openwork98@gmail.com  
---|---  
  
Codes to sign in to your account now go to a new phone number. If you didn't
add this number, someone might be using your account. Check and secure your
account now.

Check activity

You can also see security activity at  
https://myaccount.google.com/notifications

You received this email to let you know about important changes to your Google
Account and services.

(C) 2023 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA

"
PVTmJKedhi,"[image: Google]
2-Step Verification turned on


openwork98@gmail.com

Your Google Account openwork98@gmail.com is now protected with 2-Step
Verification. When you sign in on a new or untrusted device, you’ll need
your second factor to verify your identity.

*Don't get locked out!*
You can add a backup phone or get backup codes to use when you don’t have
your second factor with you.
You can review your 2SV settings
<https://accounts.google.com/AccountChooser?Email=openwork98@gmail.com&continue=https://myaccount.google.com/signinoptions/two-step-verification?rfn%3D16%26rfnc%3D1%26eid%3D5169194401415159499%26et%3D0>
to make changes.
You can also see security activity at
https://myaccount.google.com/notifications
You received this email to let you know about important changes to your
Google Account and services.
© 2023 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA
  
---  
  
| |

![Google](https://www.gstatic.com/images/branding/googlelogo/2x/googlelogo_color_74x24dp.png)

2-Step Verification turned on

|
![](https://lh3.googleusercontent.com/a/ACg8ocIJY6Xh98AtIkw9bzLzZ7hhULmhhR6qmzqMHxh2iu5z=s96-c)|
openwork98@gmail.com  
---|---  
  
Your Google Account openwork98@gmail.com is now protected with 2-Step
Verification. When you sign in on a new or untrusted device, you’ll need your
second factor to verify your identity.

 **Don't get locked out!**  
You can add a backup phone or get backup codes to use when you don’t have your
second factor with you.

You can review your 2SV settings to make changes.

You can also see security activity at  
https://myaccount.google.com/notifications

You received this email to let you know about important changes to your Google
Account and services.

(C) 2023 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA

"
KaRMlPLhEN,"[image: Google]
App password created to sign in to your account


openwork98@gmail.com
If you didn't generate this password for Python email, someone might be
using your account. Check and secure your account now.
Check activity
<https://accounts.google.com/AccountChooser?Email=openwork98@gmail.com&continue=https://myaccount.google.com/alert/nt/1696252582906?rfn%3D20%26rfnc%3D1%26eid%3D3074272835479889153%26et%3D0>
You can also see security activity at
https://myaccount.google.com/notifications
You received this email to let you know about important changes to your
Google Account and services.
© 2023 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA
  
---  
  
| |

![Google](https://www.gstatic.com/images/branding/googlelogo/2x/googlelogo_color_74x24dp.png)

App password created to sign in to your account

|
![](https://lh3.googleusercontent.com/a/ACg8ocIJY6Xh98AtIkw9bzLzZ7hhULmhhR6qmzqMHxh2iu5z=s96-c)|
openwork98@gmail.com  
---|---  
  
If you didn't generate this password for Python email, someone might be using
your account. Check and secure your account now.

Check activity

You can also see security activity at  
https://myaccount.google.com/notifications

You received this email to let you know about important changes to your Google
Account and services.

(C) 2023 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA

"
kzJrLOwEBq,"  
  
![ThemeWagon](https://themewagon.com/wp-content/uploads/2021/04/logo-for-
email.png)

|  |

#  Download link for your theme is arrived!  
  
---  
|  |

Thanks for downloading - **Template Collection 2023- Hundred Pre-Built
websites for free**

Click Here to Start Download »  
  
---  
|  |

**ThemeWagon Inc**  
2810 N Church St  
PMB 38894  
Wilmington, Delaware 19802-4447 US  
  
---

"
fbaMGQuFsq,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
WEohnqnugq,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
MvJzoWAAhx,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
EXxSzvTfYu,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
yPNVlQLFYz,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
